window_total,n_meth,mean_meth,min_meth,max_meth,sd_meth,se_meth
64,8832,64.582542234104,0,100,20.6136862009501,0.219344187519629
65,8780,64.6629831366249,0,100,20.5954212261298,0.219797840302316
66,8759,64.8274196557085,0,100,20.6555625220462,0.220703776054505
67,8821,64.5397921463146,0,100,20.6695552575404,0.220075765453415
68,8720,64.6475588772727,0,100,20.8913055493444,0.223721302181995
69,8823,64.9611398314849,0,100,20.548447754963,0.218761494123552
70,8734,64.3972662449872,0,100,20.7680202032635,0.222222742907743
71,8745,64.5195465053569,0,100,21.0521928935076,0.225121738395903
72,8823,64.3264201386668,0,100,20.8078883227336,0.221523532741678
73,8785,64.2877002617988,0,100,21.0823368681775,0.224930249815599
74,8743,64.103864892739,0,100,21.079705303903,0.225441723478708
75,8834,64.2239038859212,0,100,21.0138123176321,0.223576499208862
76,8916,63.8581196559073,0,100,21.4436043976817,0.227097710901225
77,8912,63.8729103026039,0,100,21.6789620025665,0.229641775104316
78,8851,63.5544915992382,0,100,21.9557320487467,0.233373613928973
79,8951,63.1781610533208,0,100,22.4975134142563,0.237792821989587
80,8966,62.5837885467309,0,100,23.3146645313817,0.246223671913619
81,9186,62.0783875361573,0,100,24.196207100564,0.252455055799039
82,9504,61.5787449261467,0,100,25.2516785019499,0.259022229711315
83,9950,61.604903050971,0,100,26.0787675802003,0.261442100107757
84,8841,63.6769190664217,0,100,23.3981670163408,0.248846273408363
85,8631,62.975025152473,0,100,23.8719614959335,0.256955280509262
86,8492,63.0433723359435,0,100,23.9975593684681,0.260412652995626
87,8453,61.8751090827906,0,100,24.2849904683737,0.264138983910678
88,8408,61.8847716158078,0,100,24.5378921005137,0.267602952599229
89,8368,61.3377658464719,0,100,24.6206712194564,0.269146696038787
90,8423,61.6450784435884,0,100,24.3968169764271,0.265827414842653
91,8556,61.7733666521073,0,100,24.3495261471933,0.263241966293823
92,8576,61.6876040632541,0,100,24.5208111548929,0.26478443157944
93,8532,61.2954604261973,0,100,24.5049815532175,0.265294933780823
94,8320,61.9483008925384,0,100,23.9899490500282,0.263007214963679
95,8455,62.3850022803671,0,100,23.9233376282092,0.260174640722607
96,8486,62.1002852470993,0,100,23.8801158897322,0.259229794974056
97,8521,61.9821070127779,0,100,24.2422868499144,0.262620306052709
98,8491,62.2156050970985,0,100,23.7968443293501,0.25824977342843
99,8546,61.9138156595671,0,100,24.0550756964882,0.260210779465479
100,8468,62.5022603301241,0,100,23.7106553874257,0.257663637669902
101,8346,62.3307473640539,0,100,23.9001059050862,0.261613791634617
102,8426,62.1539308860472,0,100,23.8907202357694,0.260266645888858
103,8557,62.0240524791014,0,100,24.1816274221275,0.261411542365699
104,8415,62.1960437650496,0,100,23.9724545021742,0.261327698031845
105,8502,62.0177981904198,0,100,24.0753208950394,0.261102803024499
106,8349,61.9768362191873,0,100,24.174637346565,0.264571303636847
107,8431,61.6734294184517,0,100,24.3959752386138,0.265692098654213
108,8339,61.9116595385394,0,100,24.0994031946223,0.263906022243155
109,8378,61.9477260509292,0,100,24.1261700501896,0.2635834915492
110,8469,62.4474584281328,0,100,23.8329186488034,0.258976981193973
111,8437,61.7551146564681,0,100,24.1846884861542,0.263297340981569
112,8385,62.0132903318437,0,100,24.3387249844638,0.265794683578599
113,8499,61.9820609871567,0,100,24.2063003481029,0.262569636557531
114,8493,61.9853470328833,0,100,24.1889006017466,0.262473563693485
115,8555,62.1524494515425,0,100,24.1043626596724,0.260606741409187
116,8460,61.8837083464933,0,100,24.1491880798099,0.262553222098459
117,8470,61.7745436731884,0,100,24.1423354308934,0.262323727301375
118,8392,62.3544826432671,0,100,24.191936454256,0.264081449715313
119,8462,61.8271943670437,0,100,24.2615787130389,0.263743974616774
120,8532,61.831562088146,0,100,24.6736312434111,0.267120762879895
121,8492,62.3583145988409,0,100,24.1302326263854,0.261852374199992
122,8444,63.1881569250165,0,100,23.6334765351981,0.257189657245209
123,8651,63.9873289822125,0,100,23.3978876220949,0.251561105594905
124,8835,64.5367258808995,0,100,23.3609236091998,0.248534528072086
